xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
------------NEW OBJECT CREATED------------------
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
16/05/2022 05:49:08 PM - Connection established
16/05/2022 05:49:10 PM - Collection Dropped
16/05/2022 05:49:10 PM - Database Dropped
16/05/2022 05:49:10 PM - Connection Closed
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
------------NEW OBJECT CREATED------------------
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
16/05/2022 05:49:51 PM - Connection established
16/05/2022 05:49:51 PM - DB Created
16/05/2022 05:49:51 PM - Collection created
16/05/2022 05:49:52 PM - record 1 inserted 
16/05/2022 05:49:52 PM - record 2 inserted 
16/05/2022 05:49:53 PM - record 3 inserted 
16/05/2022 05:49:53 PM - record 4 inserted 
16/05/2022 05:49:53 PM - record 5 inserted 
16/05/2022 05:49:53 PM - record 6 inserted 
16/05/2022 05:49:53 PM - record 7 inserted 
16/05/2022 05:49:53 PM - record 8 inserted 
16/05/2022 05:49:53 PM - record 9 inserted 
16/05/2022 05:49:53 PM - record 10 inserted 
16/05/2022 05:49:53 PM - record 11 inserted 
16/05/2022 05:49:54 PM - record 12 inserted 
16/05/2022 05:49:54 PM - record 13 inserted 
16/05/2022 05:49:54 PM - record 14 inserted 
16/05/2022 05:49:54 PM - record 15 inserted 
16/05/2022 05:49:54 PM - record 16 inserted 
16/05/2022 05:49:54 PM - record 17 inserted 
16/05/2022 05:49:54 PM - record 18 inserted 
16/05/2022 05:49:54 PM - record 19 inserted 
16/05/2022 05:49:54 PM - record 20 inserted 
16/05/2022 05:49:55 PM - record 21 inserted 
16/05/2022 05:49:55 PM - record 22 inserted 
16/05/2022 05:49:55 PM - record 23 inserted 
16/05/2022 05:49:55 PM - record 24 inserted 
16/05/2022 05:49:55 PM - record 25 inserted 
16/05/2022 05:49:55 PM - record 26 inserted 
16/05/2022 05:49:55 PM - record 27 inserted 
16/05/2022 05:49:55 PM - record 28 inserted 
16/05/2022 05:49:55 PM - record 29 inserted 
16/05/2022 05:49:56 PM - record 30 inserted 
16/05/2022 05:49:56 PM - record 31 inserted 
16/05/2022 05:49:56 PM - record 32 inserted 
16/05/2022 05:49:56 PM - record 33 inserted 
16/05/2022 05:49:56 PM - record 34 inserted 
16/05/2022 05:49:56 PM - record 35 inserted 
16/05/2022 05:49:56 PM - record 36 inserted 
16/05/2022 05:49:56 PM - record 37 inserted 
16/05/2022 05:49:56 PM - record 38 inserted 
16/05/2022 05:49:57 PM - record 39 inserted 
16/05/2022 05:49:57 PM - record 40 inserted 
16/05/2022 05:49:57 PM - record 41 inserted 
16/05/2022 05:49:57 PM - record 42 inserted 
16/05/2022 05:49:57 PM - record 43 inserted 
16/05/2022 05:49:57 PM - record 44 inserted 
16/05/2022 05:49:57 PM - record 45 inserted 
16/05/2022 05:49:57 PM - record 46 inserted 
16/05/2022 05:49:57 PM - record 47 inserted 
16/05/2022 05:49:58 PM - record 48 inserted 
16/05/2022 05:49:58 PM - record 49 inserted 
16/05/2022 05:49:58 PM - record 50 inserted 
16/05/2022 05:49:58 PM - record 51 inserted 
16/05/2022 05:49:58 PM - record 52 inserted 
16/05/2022 05:49:58 PM - record 53 inserted 
16/05/2022 05:49:58 PM - record 54 inserted 
16/05/2022 05:49:58 PM - record 55 inserted 
16/05/2022 05:49:59 PM - record 56 inserted 
16/05/2022 05:49:59 PM - record 57 inserted 
16/05/2022 05:49:59 PM - record 58 inserted 
16/05/2022 05:49:59 PM - record 59 inserted 
16/05/2022 05:49:59 PM - record 60 inserted 
16/05/2022 05:49:59 PM - record 61 inserted 
16/05/2022 05:49:59 PM - record 62 inserted 
16/05/2022 05:49:59 PM - record 63 inserted 
16/05/2022 05:49:59 PM - record 64 inserted 
16/05/2022 05:50:00 PM - record 65 inserted 
16/05/2022 05:50:00 PM - record 66 inserted 
16/05/2022 05:50:00 PM - record 67 inserted 
16/05/2022 05:50:00 PM - record 68 inserted 
16/05/2022 05:50:00 PM - record 69 inserted 
16/05/2022 05:50:00 PM - record 70 inserted 
16/05/2022 05:50:00 PM - record 71 inserted 
16/05/2022 05:50:00 PM - record 72 inserted 
16/05/2022 05:50:00 PM - record 73 inserted 
16/05/2022 05:50:00 PM - record 74 inserted 
16/05/2022 05:50:01 PM - record 75 inserted 
16/05/2022 05:50:01 PM - record 76 inserted 
16/05/2022 05:50:01 PM - record 77 inserted 
16/05/2022 05:50:01 PM - record 78 inserted 
16/05/2022 05:50:01 PM - record 79 inserted 
16/05/2022 05:50:01 PM - record 80 inserted 
16/05/2022 05:50:01 PM - record 81 inserted 
16/05/2022 05:50:01 PM - record 82 inserted 
16/05/2022 05:50:02 PM - record 83 inserted 
16/05/2022 05:50:02 PM - record 84 inserted 
16/05/2022 05:50:02 PM - record 85 inserted 
16/05/2022 05:50:02 PM - record 86 inserted 
16/05/2022 05:50:02 PM - record 87 inserted 
16/05/2022 05:50:03 PM - record 88 inserted 
16/05/2022 05:50:03 PM - record 89 inserted 
16/05/2022 05:50:03 PM - record 90 inserted 
16/05/2022 05:50:03 PM - record 91 inserted 
16/05/2022 05:50:03 PM - record 92 inserted 
16/05/2022 05:50:03 PM - record 93 inserted 
16/05/2022 05:50:03 PM - record 94 inserted 
16/05/2022 05:50:03 PM - record 95 inserted 
16/05/2022 05:50:04 PM - record 96 inserted 
16/05/2022 05:50:04 PM - record 97 inserted 
16/05/2022 05:50:04 PM - record 98 inserted 
16/05/2022 05:50:04 PM - record 99 inserted 
16/05/2022 05:50:04 PM - record 100 inserted 
16/05/2022 05:50:04 PM - record 101 inserted 
16/05/2022 05:50:04 PM - record 102 inserted 
16/05/2022 05:50:04 PM - record 103 inserted 
16/05/2022 05:50:04 PM - record 104 inserted 
16/05/2022 05:50:05 PM - record 105 inserted 
16/05/2022 05:50:05 PM - record 106 inserted 
16/05/2022 05:50:05 PM - record 107 inserted 
16/05/2022 05:50:05 PM - record 108 inserted 
16/05/2022 05:50:05 PM - record 109 inserted 
16/05/2022 05:50:05 PM - record 110 inserted 
16/05/2022 05:50:05 PM - record 111 inserted 
16/05/2022 05:50:05 PM - record 112 inserted 
16/05/2022 05:50:06 PM - record 113 inserted 
16/05/2022 05:50:06 PM - record 114 inserted 
16/05/2022 05:50:06 PM - record 115 inserted 
16/05/2022 05:50:06 PM - record 116 inserted 
16/05/2022 05:50:06 PM - record 117 inserted 
16/05/2022 05:50:06 PM - record 118 inserted 
16/05/2022 05:50:06 PM - record 119 inserted 
16/05/2022 05:50:06 PM - record 120 inserted 
16/05/2022 05:50:06 PM - record 121 inserted 
16/05/2022 05:50:07 PM - record 122 inserted 
16/05/2022 05:50:07 PM - record 123 inserted 
16/05/2022 05:50:07 PM - record 124 inserted 
16/05/2022 05:50:07 PM - record 125 inserted 
16/05/2022 05:50:07 PM - record 126 inserted 
16/05/2022 05:50:07 PM - record 127 inserted 
16/05/2022 05:50:07 PM - record 128 inserted 
16/05/2022 05:50:07 PM - record 129 inserted 
16/05/2022 05:50:07 PM - record 130 inserted 
16/05/2022 05:50:08 PM - record 131 inserted 
16/05/2022 05:50:08 PM - record 132 inserted 
16/05/2022 05:50:08 PM - record 133 inserted 
16/05/2022 05:50:08 PM - record 134 inserted 
16/05/2022 05:50:08 PM - record 135 inserted 
16/05/2022 05:50:08 PM - record 136 inserted 
16/05/2022 05:50:09 PM - record 137 inserted 
16/05/2022 05:50:09 PM - record 138 inserted 
16/05/2022 05:50:09 PM - record 139 inserted 
16/05/2022 05:50:09 PM - record 140 inserted 
16/05/2022 05:50:09 PM - record 141 inserted 
16/05/2022 05:50:09 PM - record 142 inserted 
16/05/2022 05:50:09 PM - record 143 inserted 
16/05/2022 05:50:10 PM - record 144 inserted 
16/05/2022 05:50:10 PM - record 145 inserted 
16/05/2022 05:50:10 PM - record 146 inserted 
16/05/2022 05:50:10 PM - record 147 inserted 
16/05/2022 05:50:10 PM - record 148 inserted 
16/05/2022 05:50:10 PM - record 149 inserted 
16/05/2022 05:50:10 PM - record 150 inserted 
16/05/2022 05:50:10 PM - record 151 inserted 
16/05/2022 05:50:10 PM - record 152 inserted 
16/05/2022 05:50:10 PM - record 153 inserted 
16/05/2022 05:50:11 PM - record 154 inserted 
16/05/2022 05:50:11 PM - record 155 inserted 
16/05/2022 05:50:11 PM - record 156 inserted 
16/05/2022 05:50:11 PM - record 157 inserted 
16/05/2022 05:50:11 PM - record 158 inserted 
16/05/2022 05:50:11 PM - record 159 inserted 
16/05/2022 05:50:11 PM - record 160 inserted 
16/05/2022 05:50:11 PM - record 161 inserted 
16/05/2022 05:50:12 PM - record 162 inserted 
16/05/2022 05:50:12 PM - record 163 inserted 
16/05/2022 05:50:12 PM - record 164 inserted 
16/05/2022 05:50:12 PM - record 165 inserted 
16/05/2022 05:50:12 PM - record 166 inserted 
16/05/2022 05:50:12 PM - record 167 inserted 
16/05/2022 05:50:12 PM - record 168 inserted 
16/05/2022 05:50:12 PM - record 169 inserted 
16/05/2022 05:50:12 PM - record 170 inserted 
16/05/2022 05:50:13 PM - record 171 inserted 
16/05/2022 05:50:13 PM - record 172 inserted 
16/05/2022 05:50:13 PM - record 173 inserted 
16/05/2022 05:50:13 PM - record 174 inserted 
16/05/2022 05:50:13 PM - record 175 inserted 
16/05/2022 05:50:13 PM - record 176 inserted 
16/05/2022 05:50:14 PM - record 177 inserted 
16/05/2022 05:50:14 PM - record 178 inserted 
16/05/2022 05:50:14 PM - record 179 inserted 
16/05/2022 05:50:14 PM - record 180 inserted 
16/05/2022 05:50:14 PM - record 181 inserted 
16/05/2022 05:50:14 PM - record 182 inserted 
16/05/2022 05:50:14 PM - record 183 inserted 
16/05/2022 05:50:14 PM - record 184 inserted 
16/05/2022 05:50:14 PM - record 185 inserted 
16/05/2022 05:50:15 PM - record 186 inserted 
16/05/2022 05:50:15 PM - record 187 inserted 
16/05/2022 05:50:15 PM - record 188 inserted 
16/05/2022 05:50:15 PM - record 189 inserted 
16/05/2022 05:50:15 PM - record 190 inserted 
16/05/2022 05:50:15 PM - record 191 inserted 
16/05/2022 05:50:15 PM - record 192 inserted 
16/05/2022 05:50:15 PM - record 193 inserted 
